"name","domain","year","scope_class","role","source_unit","synthesis_or_collection","verifier","primary_url","main_limit"
"LegalAgentBench construction pipeline","Legal","2024","Industry vertical","Corpus and dependency-graph blueprints","Seventeen legal corpora, 37 tools, and a planning tree","Sample multihop and writing tasks from tool dependencies and difficulty conditions","Answer keywords and process progress rate","https://arxiv.org/abs/2412.17259","Keyword verifiers miss equivalent arguments, and legal jurisdiction and temporal validity are limited"
"AgentTrek","Web and enterprise SOPs","2024","Interface domain","Tutorial-guided replay","Web tutorials, demonstration steps, and browser state","Extract tasks from tutorials and synthesize agent trajectories through guided replay","Vision/model critics and replay consistency","https://arxiv.org/abs/2412.09605","Tutorials favor standard paths, and critics may miss hidden business errors or side effects"
"APIGen","Function calling","2024","Horizontal substrate","Cold-start data pipeline","API documentation, function schemas, generated requests, and calls","Generate candidates and filter them in format, execution, and semantic stages","Schema checks, real execution, and semantic verification","https://arxiv.org/abs/2406.18518","Validates API calls rather than domain policy or persistent state, and live services can drift"
"APIGen-MT","Multiturn tool use","2025","Horizontal substrate","Blueprint-based synthesis pipeline","Task blueprints with ground-truth actions and simulated human and agent roles","Use a reviewer committee to screen blueprints before expanding them into multiturn tool interactions","Action consistency, tool execution, and reviewer filtering","https://arxiv.org/abs/2504.03601","Simulated users and reviewers may share teacher bias, and domain rules remain shallow"
"TOUCAN","MCP tool use","2025","Horizontal substrate","Large-scale trajectory synthesis","Real MCP servers, tool schemas, and synthetic tasks","Expand multiturn tool trajectories from 495 servers and more than 2,000 tools","Schema, tool-execution, and trajectory-consistency filters","https://arxiv.org/abs/2510.01179","Server availability, licenses, and security boundaries vary, while scale does not guarantee state-machine diversity"
"DIVE","Tool use","2026","Horizontal substrate","Evidence-first synthesis","Evidence returned by real tool execution and tasks generated in reverse","Run tools first to obtain evidence, then derive tasks and trajectories entailed by that evidence","Execution evidence, task entailment, and structural-diversity filtering","https://arxiv.org/abs/2603.11076","General tool evidence does not automatically supply institutional policies, permissions, or high-stakes consequences"
"AgentScaler","Cross-domain tool environments","2025","Horizontal substrate","Environment scaling and two-stage training","Tool environments, general primitives, and domain tasks","Learn general agentic primitives before domain specialization","Executable environment rules and task-success checks","https://arxiv.org/abs/2509.13311","The gap between synthetic environments and real business distributions still requires external schemas and expert calibration"
"EnvScaler","Tool-interaction environments","2026","Horizontal substrate","Programmatic environment synthesis","Environment skeletons, topics, logical rules, and task scenarios","Programmatically generate environments, scenarios, and rule-verification functions","Per-scenario rule verifiers","https://arxiv.org/abs/2601.05808","Model-generated rules may be internally consistent but unrealistic; complexity and business validity are different objectives"
"ASTRA","Tool trajectories and RL environments","2026","Horizontal substrate","Dual-path synthesis pipeline","Tool-call graphs, QA semantic topologies, and rule-based environments","Synthesize SFT trajectories from call graphs and executable RL arenas from semantic topologies","Tool execution, rule checks, and task-success functions","https://arxiv.org/abs/2601.21558","Automated-verifier coverage and exploitability still require mutation testing and human sampling"
"AutoForge","Tool-interaction environments","2025","Horizontal substrate","Automated environment synthesis","Tool documentation, simulated state, and user behavior","Generate difficult tasks, state machines, and verifiable environments from tool documentation","Programmatic rule verifiers and simulated-user constraints","https://arxiv.org/abs/2512.22857","Tool documentation omits complete organizational processes, and simulated-user stability and external validity are limited"
"ToolBench / ToolLLM","Function calling","2023","Horizontal substrate","Cold-start corpus","RapidAPI documentation, instructions, and tool trajectories","Generate single- and multi-tool instructions from API collections and route them with a teacher","Primarily API execution and model judging","https://arxiv.org/abs/2307.16789","Teacher trajectories and API availability are noisy, with little domain state and weak terminal verification"
"ToolSandbox","Stateful tool use","2024","Horizontal substrate","Evaluation-and-training task packages","Simulated tools, user dialogues, initial states, and milestones","Manually design state dependencies, distracting tools, and multiturn tasks","Milestone similarity and final-state checks","https://arxiv.org/abs/2408.04682","The tool world is simulated, industry rules are shallow, and the dataset is relatively small"
"AppWorld task packages","Cross-application personal workflows","2024","Interface domain","Environment-first task packages","Application APIs, resettable databases, tasks, and goal states","Construct a controllable application world before authoring or generating tasks and state tests","Target-state and collateral-damage tests","https://arxiv.org/abs/2407.18901","Domain policy is limited, and simulated applications differ from production services in permissions and failure distributions"
